id;name;price;description;image;image_content_type
1;Assistant;57201;Money Market Account;../fake-data/blob/hipster.png;image/png
2;wireless mint green;63267;Bedfordshire Security;../fake-data/blob/hipster.png;image/png
3;Team-oriented;30527;index;../fake-data/blob/hipster.png;image/png
4;Auto Loan Account;1585;functionalities;../fake-data/blob/hipster.png;image/png
5;sky blue Consultant Malta;39244;deposit multi-byte indexing;../fake-data/blob/hipster.png;image/png
6;Ball Extended;41861;Pa'anga Directives Direct;../fake-data/blob/hipster.png;image/png
7;Villages fuchsia Administrator;9354;Uzbekistan Sum;../fake-data/blob/hipster.png;image/png
8;artificial intelligence;69260;Ergonomic California withdrawal;../fake-data/blob/hipster.png;image/png
9;invoice secondary database;30600;Tennessee deposit transmit;../fake-data/blob/hipster.png;image/png
10;Ford;9251;Small Credit Card Account Chicken;../fake-data/blob/hipster.png;image/png
