id;name;description;price;image;image_content_type;size
1;Coves protocol;initiative program;90179;../fake-data/blob/hipster.png;image/png;M
2;Fiji Dollar Bedfordshire;SCSI 6th generation Sudanese Pound;84699;../fake-data/blob/hipster.png;image/png;XL
3;Kids;Creative;61947;../fake-data/blob/hipster.png;image/png;XXL
4;mint green throughput;withdrawal bifurcated Officer;30474;../fake-data/blob/hipster.png;image/png;L
5;technologies Avon neural;circuit deliverables;71609;../fake-data/blob/hipster.png;image/png;XL
6;ivory Investment Account;capacity reintermediate Metrics;43925;../fake-data/blob/hipster.png;image/png;L
7;process improvement Agent;Investment Account Manager mindshare;84073;../fake-data/blob/hipster.png;image/png;L
8;Cotton Money Market Account;Metal Operations bus;16100;../fake-data/blob/hipster.png;image/png;L
9;protocol primary Squares;RAM;54956;../fake-data/blob/hipster.png;image/png;XL
10;Toys Ports background;Towels Global;83399;../fake-data/blob/hipster.png;image/png;M
